Unnamed: 0,userID,hotelID,prediction
11805,10260,380,0.6207773
11812,10260,378,0.61907053
11806,10260,526,0.6170415
11811,10260,227,0.61636996
11809,10260,343,0.6106329
11815,10260,481,0.6071448
11819,10260,507,0.6065555
11799,10254,551,21.005648
11794,10254,469,18.709885
11797,10254,282,8.183659
11780,10254,132,7.636346
11783,10254,2,0.701795
11792,10254,488,0.6660954
11796,10254,456,0.6641382
11785,10254,494,0.6641155
11778,10254,356,0.6594555
11791,10254,292,0.6578433
11798,10254,47,0.6537627
11781,10254,237,0.64992166
11775,10254,11,0.6464361
11777,10254,148,0.64217466
11793,10254,338,0.63927364
11789,10254,141,0.6386149
11795,10254,255,0.6381144
11786,10254,387,0.6313245
11788,10254,378,0.6303477
11787,10254,227,0.6285226
11779,10254,380,0.6281464
11784,10254,183,0.6281394
11782,10254,408,0.62661177
11790,10254,184,0.62489915
11776,10254,537,0.6236343
11767,10249,469,10.557928
11774,10249,551,1.9246101
11754,10249,132,1.4121203
11763,10249,23,1.2506179
11759,10249,494,0.6839708
11764,10249,266,0.67618304
11752,10249,148,0.6713152
11757,10249,2,0.66672856
11761,10249,292,0.65481734
11755,10249,237,0.6480632
11753,10249,356,0.64742297
11770,10249,173,0.6462576
11771,10249,451,0.6426447
11766,10249,338,0.6418465
11773,10249,47,0.6407983
11756,10249,351,0.6397601
11750,10249,11,0.63700294
11768,10249,330,0.6369321
11760,10249,378,0.63568676
11772,10249,456,0.63420933
11765,10249,488,0.63404334
11751,10249,537,0.6338536
11758,10249,183,0.6338366
11762,10249,193,0.63061094
11769,10249,255,0.6303864
11744,10242,469,17.453974
11740,10242,23,5.8338165
11730,10242,132,5.331203
11749,10242,551,3.7602417
11735,10242,494,0.6974405
11733,10242,2,0.6974227
11739,10242,292,0.6853025
11741,10242,266,0.67089903
11728,10242,148,0.6689354
11732,10242,351,0.65810245
11729,10242,356,0.65377957
11727,10242,537,0.6530519
11742,10242,488,0.65294737
11725,10242,11,0.6503072
11747,10242,456,0.63858193
11748,10242,47,0.63702744
11737,10242,227,0.6337458
11743,10242,509,0.633312
11738,10242,378,0.63219
11745,10242,330,0.63167256
11736,10242,129,0.6312554
11746,10242,255,0.6307028
11731,10242,237,0.62943155
11734,10242,183,0.6288371
11726,10242,420,0.6263831
11724,10224,551,8.349553
11706,10224,132,3.0455728
11722,10224,282,2.9162695
11714,10224,23,0.88654083
11711,10224,494,0.6932307
11715,10224,266,0.68605554
11713,10224,292,0.68257713
11716,10224,488,0.6738648
11707,10224,237,0.6734242
11709,10224,2,0.6705735
11712,10224,227,0.6620476
11703,10224,148,0.6615573
11700,10224,11,0.65675336
11702,10224,537,0.65299904
11701,10224,420,0.65298545
11705,10224,356,0.6519239
11719,10224,173,0.65110886
11721,10224,456,0.649563
11708,10224,351,0.6472655
11720,10224,451,0.6443614
11717,10224,255,0.64276
11723,10224,47,0.63991296
11704,10224,120,0.6394218
11710,10224,183,0.63238686
11718,10224,17,0.6316521
11692,10190,469,12.103349
11698,10190,282,10.953155
11690,10190,234,8.570403
11687,10190,23,3.7021456
11688,10190,266,0.6827855
11678,10190,237,0.67566097
11686,10190,292,0.65350896
11681,10190,494,0.6510194
11680,10190,2,0.6433455
11697,10190,456,0.6205287
11693,10190,255,0.61996955
11683,10190,227,0.61942065
11696,10190,173,0.61854625
11691,10190,338,0.6173941
11676,10190,356,0.6164181
11685,10190,184,0.6114542
11675,10190,148,0.6081166
11684,10190,378,0.6057294
11679,10190,449,0.6013582
11682,10190,323,0.6009769
11694,10190,340,0.59873635
11677,10190,380,0.59692794
11699,10190,47,0.59456176
11689,10190,154,0.59161615
11695,10190,567,0.59151894
11674,10189,551,22.289268
11667,10189,6,11.042739
11672,10189,282,8.066223
11666,10189,147,5.1033645
11656,10189,132,1.1891779
11660,10189,494,0.70254594
11659,10189,2,0.6971455
11664,10189,266,0.6759926
11662,10189,292,0.6636176
11671,10189,48,0.6571915
11657,10189,237,0.6540538
11650,10189,11,0.65152484
11651,10189,420,0.64855593
11670,10189,456,0.64543104
11654,10189,356,0.63988954
11665,10189,488,0.63294864
11673,10189,554,0.6305845
11668,10189,507,0.6296899
11653,10189,120,0.6291315
11663,10189,193,0.6290763
11658,10189,351,0.62662333
11661,10189,378,0.6240097
11652,10189,148,0.62249833
11655,10189,380,0.6224961
11669,10189,173,0.6219806
11642,10181,336,13.92707
11649,10181,551,12.197903
11647,10181,282,11.515545
11630,10181,132,6.860757
11632,10181,46,2.8812022
11636,10181,266,0.66970557
11634,10181,494,0.6531659
11638,10181,488,0.64387995
11633,10181,2,0.6410972
11626,10181,420,0.63775957
11645,10181,173,0.6373947
11631,10181,351,0.63320255
11646,10181,48,0.6319523
11639,10181,319,0.63181216
11637,10181,354,0.62673146
11635,10181,378,0.6237573
11648,10181,47,0.6235732
11640,10181,429,0.6132691
11629,10181,275,0.61121696
11625,10181,11,0.6093776
11644,10181,17,0.6081625
11628,10181,148,0.60663587
11641,10181,338,0.6050216
11643,10181,330,0.6028896
11627,10181,537,0.60158676
11624,10062,551,16.733932
11623,10062,295,6.1848927
11619,10062,147,5.936852
11617,10062,469,3.7092094
11604,10062,132,3.6263182
11612,10062,23,2.8753967
11621,10062,282,2.048393
11607,10062,2,0.7048247
11608,10062,494,0.6946591
11613,10062,266,0.6940092
11605,10062,351,0.66929716
11600,10062,11,0.6648168
11622,10062,47,0.6641171
11610,10062,292,0.6477808
11602,10062,356,0.64739764
11615,10062,488,0.6411053
11603,10062,380,0.63927466
11609,10062,378,0.6388312
11606,10062,389,0.63872033
11618,10062,330,0.638176
11616,10062,319,0.63400704
11620,10062,507,0.6333393
11601,10062,120,0.6286013
11614,10062,276,0.62634933
11611,10062,193,0.6250944
11599,10001,551,17.829216
11597,10001,282,5.61853
11580,10001,132,5.2802167
11593,10001,469,4.097591
11589,10001,23,2.977526
11584,10001,2,0.6919436
11590,10001,266,0.69184625
11588,10001,292,0.65988255
11587,10001,141,0.6570188
11598,10001,47,0.653059
11577,10001,148,0.6520711
11575,10001,11,0.6517569
11592,10001,338,0.6504583
11578,10001,356,0.64963526
11591,10001,488,0.6494142
11596,10001,456,0.64757377
11579,10001,380,0.6445917
11594,10001,330,0.6401428
11586,10001,227,0.63647383
11595,10001,255,0.6361386
11582,10001,351,0.6352456
11583,10001,389,0.6303837
11581,10001,237,0.6297376
11585,10001,387,0.6291812
11576,10001,537,0.6290654
11574,9999,551,23.833551
11569,9999,469,17.577162
11555,9999,132,3.9098258
11565,9999,23,2.2973957
11567,9999,266,0.68315566
11560,9999,494,0.6818912
11571,9999,255,0.67082685
11556,9999,237,0.66718554
11563,9999,292,0.658526
11559,9999,2,0.65422034
11553,9999,148,0.65038717
11572,9999,173,0.6466868
11552,9999,537,0.6448458
11550,9999,11,0.64398175
11562,9999,141,0.63943833
11573,9999,456,0.6392696
