userID,hotelID,prediction
1358,330,0.7264621
1358,579,0.67252547
1358,507,0.620406
1358,382,6.483565
1358,321,17.952988
1358,128,0.66691214
1358,339,8.715378
1358,578,0.6312628
1358,483,18.189735
1388,537,0.63624305
1388,120,0.63707495
1388,530,0.6313319
1388,19,0.6082465
1388,468,0.6347899
1388,25,0.610111
1388,404,0.62729746
1388,488,0.60541487
1388,294,0.6394717
1388,506,7.65191
1388,250,0.6243562
1388,502,0.61427844
1388,469,9.318229
1388,336,16.429379
1388,330,0.7014193
1388,579,0.6537764
1388,327,4.405524
1388,507,0.6232377
1388,382,6.7533913
1388,321,7.4609017
1388,128,0.64569086
1388,339,16.283361
1388,578,0.60688967
1388,238,0.626672
1388,483,23.060352
1390,482,0.64017725
1390,441,0.62922215
1390,537,0.6607652
1390,120,0.63362753
1390,73,0.6329863
1390,530,0.6672181
1390,541,0.6346338
1390,2,0.6479798
1390,19,0.6424804
1390,443,0.639244
1390,333,0.62478626
1390,404,0.66747457
1390,57,0.63193303
1390,488,0.64730525
1390,506,3.2466724
1390,469,15.633285
1390,336,5.292574
1390,330,0.73578167
1390,579,0.6580676
1390,382,15.738756
1390,321,19.844086
1390,128,0.68258363
1390,144,0.7293265
1390,339,2.9670396
1390,483,14.746793
1467,441,0.63372505
1467,537,0.6199159
1467,120,0.62363154
1467,178,0.6045865
1467,326,0.8356837
1467,50,0.6003308
1467,2,0.6334684
1467,19,0.60310876
1467,443,0.63707787
1467,359,0.6069274
1467,404,0.68756586
1467,488,0.62082016
1467,294,0.60161924
1467,250,0.6265372
1467,63,3.03649
1467,330,0.69576114
1467,579,0.62498945
1467,327,6.177234
1467,507,0.64288986
1467,321,21.405611
1467,128,0.6530993
1467,339,12.936066
1467,578,0.6084174
1467,483,26.345959
1467,399,1.4944322
1475,482,0.631144
1475,441,0.6412208
1475,537,0.65866935
1475,120,0.66210115
1475,530,0.6480548
1475,50,0.63316005
1475,2,0.6454124
1475,19,0.62800205
1475,100,2.5035453
1475,468,0.6395335
1475,443,0.6344679
1475,404,0.6895599
1475,488,0.65643615
1475,506,4.0593286
1475,250,0.6292617
1475,469,4.9985914
1475,336,2.484666
1475,330,0.7238519
1475,579,0.6650787
1475,507,0.6289126
1475,382,16.46671
1475,321,18.93533
1475,128,0.6689348
1475,339,14.379464
1475,483,20.450178
1486,441,0.625326
1486,537,0.6310077
1486,120,0.6520004
1486,73,0.6261119
1486,530,0.6766529
1486,541,0.6251484
1486,2,0.63587326
1486,153,0.71598107
1486,19,0.64258707
1486,323,0.62676626
1486,333,0.64576036
1486,44,0.62920153
1486,404,0.6886191
1486,506,2.9087992
1486,469,5.650461
1486,336,12.777862
1486,330,0.72097206
1486,579,0.65446526
1486,327,1.8047185
1486,507,0.62517524
1486,382,5.074784
1486,321,17.44112
1486,128,0.65929866
1486,339,14.693284
1486,483,16.770657
1544,482,0.63389975
1544,441,0.6452444
1544,120,0.6431627
1544,73,0.63960016
1544,530,0.6477074
1544,2,0.66746354
1544,153,2.7544994
1544,19,0.6280326
1544,443,0.6419652
1544,333,0.6290874
1544,44,0.6356613
1544,404,0.67500174
1544,57,0.6348529
1544,488,0.6658161
1544,250,0.6376492
1544,469,4.2459445
1544,336,10.398928
1544,330,0.72337824
1544,507,0.6426733
1544,382,14.209656
1544,321,15.568831
1544,128,0.6714222
1544,144,2.5892043
1544,339,12.330965
1544,483,16.316847
1598,537,0.6594873
1598,120,0.640206
1598,73,0.6341332
1598,530,0.6348606
1598,2,0.6295877
1598,153,2.9920077
1598,468,0.6193899
1598,443,0.6348783
1598,333,0.63330895
1598,44,0.6209751
1598,25,0.6247624
1598,57,0.6211651
1598,488,0.61816096
1598,294,0.6234599
1598,506,4.609959
1598,469,14.663608
1598,336,19.086046
1598,330,0.71947676
1598,579,0.63919014
1598,382,3.0327759
1598,321,17.7304
1598,128,0.67443514
1598,339,13.956352
1598,238,0.62554413
1598,483,19.21497
1611,482,0.6294198
1611,537,0.6463655
1611,73,0.6167099
1611,530,0.66234946
1611,541,0.6510022
1611,2,0.6230334
1611,100,3.047259
1611,468,0.6221277
1611,443,0.6136588
1611,333,0.62823504
1611,25,0.61721826
1611,404,0.6715743
1611,57,0.62258285
1611,488,0.654988
1611,294,0.62355417
1611,469,15.1770115
1611,336,17.76778
1611,330,0.7065824
1611,579,0.64519924
1611,507,0.63245153
1611,382,14.833363
1611,321,21.64832
1611,128,0.639607
1611,483,21.11231
1611,399,3.9003718
1736,482,0.595885
1736,377,0.6047272
1736,120,0.5788863
1736,178,0.58616024
1736,55,0.58127564
1736,50,0.58162415
1736,153,11.516417
1736,468,0.6375977
1736,443,0.60814637
1736,497,0.5982907
1736,25,0.6085611
1736,140,1.5490166
1736,404,0.6405035
1736,506,0.90248513
1736,250,0.5808683
1736,188,6.273423
1736,336,10.57773
1736,330,0.66109
1736,579,0.64884514
1736,327,5.150495
1736,382,5.9004064
1736,321,19.833166
1736,128,0.60754967
1736,483,16.463945
1736,399,0.6796132
1756,537,0.6056181
1756,120,0.64364916
1756,566,0.60349876
1756,73,0.61436
1756,530,0.60941315
1756,369,0.7698063
1756,2,0.62409294
1756,19,0.6288147
1756,443,0.60011286
1756,404,0.65270376
1756,276,0.61390233
1756,290,2.7079117
1756,506,8.397174
1756,250,0.602597
1756,469,0.8567704
1756,336,14.876912
1756,330,0.6999138
1756,500,0.6299624
1756,579,0.6202966
1756,507,0.5996541
1756,382,12.968143
1756,321,1.4809552
1756,128,0.636933
1756,339,17.554777
1756,483,17.371424
1763,482,0.642054
1763,441,0.65299815
1763,537,0.6579128
1763,120,0.66193706
1763,530,0.65326625
1763,541,0.64149207
1763,50,0.6353073
1763,2,0.65692484
1763,19,0.64024884
1763,468,0.6514484
1763,443,0.6419702
1763,404,0.69701195
1763,488,0.656634
1763,506,2.3971846
1763,250,0.6401929
1763,469,1.9175326
1763,336,7.8646474
1763,330,0.73242056
1763,579,0.6741388
1763,507,0.64832526
1763,382,12.619909
1763,321,19.381752
1763,128,0.68807393
1763,339,9.905385
1763,483,21.569387
1827,482,0.640759
1827,441,0.6540855
1827,537,0.66817683
1827,120,0.64320344
1827,73,0.6518748
1827,530,0.67153543
1827,2,0.65103763
1827,19,0.6450546
1827,468,0.6357103
1827,443,0.6440103
1827,404,0.6741279
1827,57,0.63402015
1827,488,0.65473944
1827,506,1.4331594
1827,250,0.63308746
1827,469,10.246109
1827,336,14.78378
1827,330,0.7301354
1827,579,0.65534705
1827,507,0.63400716
1827,382,13.844609
1827,321,19.411018
1827,128,0.65909743
1827,339,12.812524
1827,483,15.929385
1904,441,0.61834323
1904,537,0.62843865
1904,120,0.66386
1904,73,0.63506615
1904,530,0.6524866
1904,2,0.61698145
1904,19,0.61858815
1904,468,0.6194748
1904,443,0.617965
1904,333,0.62260026
1904,404,0.67858773
1904,488,0.6450914
1904,506,2.21872
1904,250,0.6206035
1904,265,1.5004301
1904,469,1.973959
1904,336,2.497345
1904,330,0.7072542
1904,579,0.63691026
1904,382,16.598322
1904,321,18.094297
1904,128,0.6412648
1904,339,4.9601994
1904,578,0.61539775
1904,483,12.671499
1979,441,0.63858706
1979,537,0.654594
1979,377,0.6309993
1979,120,0.6519937
1979,530,0.6325478
1979,2,0.6451618
1979,100,4.2277746
1979,468,0.63042146
1979,443,0.65187645
1979,404,0.65720785
1979,488,0.63797146
1979,506,3.986419
1979,250,0.6359041
1979,469,13.35291
1979,336,13.751821
1979,330,0.7194645
1979,500,0.635471
1979,579,0.6771772
1979,327,4.1806493
1979,507,0.62948596
1979,382,9.975936
1979,321,16.171297
1979,128,0.6988361
1979,339,10.739787
1979,483,16.648539
2050,482,0.6368406
2050,537,0.62787753
2050,530,0.6473432
2050,2,0.6295261
2050,19,0.6103365
2050,343,0.6082921
2050,468,0.6229355
2050,404,0.6520018
2050,57,0.62480223
2050,276,0.6160327
2050,488,0.62370235
2050,294,0.60991025
2050,502,0.6229931
2050,265,5.6879826
2050,469,2.43889
2050,336,18.560642
2050,330,0.7110642
2050,579,0.6346992
2050,507,0.62913316
2050,382,14.356785
2050,321,17.468582
2050,128,0.6127148
2050,339,11.428535
2050,238,0.6261601
2050,483,15.170989
2149,482,0.6159371
2149,441,0.61666226
2149,326,2.534996
2149,73,0.6050462
2149,530,0.65423167
2149,19,0.61729157
2149,468,0.61555254
2149,227,0.63076997
2149,333,0.645369
2149,404,0.6431418
2149,57,0.62145156
2149,506,2.4004283
2149,234,1.5718621
2149,265,1.954917
2149,469,12.2239485
2149,336,1.290185
2149,330,0.68715227
2149,579,0.64443105
2149,382,5.179149
2149,321,22.1757
2149,128,0.68218356
2149,144,2.7642539
2149,339,13.282488
2149,578,0.60394555
