IDuser,CustomerName,Location,IDhotel,NameHotel,Rating,Date
9258,Tran N. T. T.,Nha Trang,179,Khu nghỉ dưỡng MerPerle Hòn Tằm Nha Trang,6.7,2013-02-04
6024,Nguyen V. Q.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2013-02-04
5853,Nguyen T. D. T.,Vũng Tàu,205,Khu nghỉ dưỡng Seaside Vũng Tàu,7.7,2013-02-05
1969,Ha D. L.,Đà Nẵng,231,Khách sạn Brilliant Đà Nẵng,6.7,2013-02-05
5932,Nguyen T. P.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2013-02-07
8981,Trac N. T. T.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2013-02-11
3940,Le N. L. P.,Đà Lạt,350,Khách sạn TTC - Ngọc Lan Đà Lạt,8.7,2013-02-27
6039,Nguyen X. D.,Nha Trang,372,Khách sạn Yasaka Sài Gòn Nha Trang,6.7,2013-03-06
9849,Truong T. H. M.,Đà Lạt,308,Khách sạn Mường Thanh Đà Lạt,7,2013-03-12
6614,Pham T. K. T.,Đà Lạt,317,Khách sạn Park Đà Lạt,6,2013-03-15
10556,Vu H. C.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,7,2013-03-20
10678,Vu Y. K.,Phan Thiết,188,Khu nghỉ dưỡng Novela Phan Thiết,8,2013-04-04
1280,Do D. B.,Huế,270,Khách sạn Indochine Palace Huế,7.3,2013-04-07
5879,Nguyen T. K. D.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,6,2013-04-08
5131,Ngo D. Y. T.,Vũng Tàu,236,Khách sạn Corvin Vũng Tàu,6,2013-04-09
5914,Nguyen T. N.,Nha Trang,351,Khách sạn TTC Premium - Michelia Nha Trang,7.7,2013-04-13
1451,Doan N. V.,Đà Lạt,349,Khách sạn Sài Gòn Đà Lạt,7.7,2013-04-18
4611,Mai T. K.,Vũng Tàu,329,Khách sạn Romeliess Vũng Tàu,6,2013-04-18
1277,Do B. P. Q.,Phan Thiết,559,Villa Del Sol Beach Resort  & Spa Phan Thiết,6.3,2013-04-18
5748,Nguyen N. P. L.,Đà Lạt,340,Khách sạn Saphir Đà Lạt,7.3,2013-04-19
381,Bui M. N.,Đà Lạt,317,Khách sạn Park Đà Lạt,7.3,2013-04-22
1228,Dinh T. A.,Phan Thiết,559,Villa Del Sol Beach Resort  & Spa Phan Thiết,6,2013-04-22
10501,Vo T. N.,Nha Trang,372,Khách sạn Yasaka Sài Gòn Nha Trang,6,2013-04-23
6027,Nguyen V. S.,Hội An,76,Green Field Villas Hội An,6,2013-04-23
381,Bui M. N.,Đà Lạt,317,Khách sạn Park Đà Lạt,8.3,2013-04-26
4118,Le V. T.,Phan Thiết,7,Allezboo Beach Resort & Spa Phan Thiết,7,2013-04-27
4080,Le T. T. H.,Nha Trang,372,Khách sạn Yasaka Sài Gòn Nha Trang,6,2013-04-27
4348,Lu G. L.,Đà Lạt,349,Khách sạn Sài Gòn Đà Lạt,6,2013-04-27
2407,Ho T. D. H.,Hội An,76,Green Field Villas Hội An,9.7,2013-04-27
7668,Tat T. T.,Đà Lạt,349,Khách sạn Sài Gòn Đà Lạt,6,2013-04-27
5912,Nguyen T. M. T.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6,2013-04-27
407,Bui T. A.,Phan Thiết,185,Khu nghỉ dưỡng Muine Bay Phan Thiết,6.7,2013-04-28
